OID_,WMU_NY_UNIT,Region,WMU_NY_UNITSQMILE,WMU_NY_MOREINFO,WMU_NY_Shape__Are,WMU_NY_Shape__Len,Buck_2007,Antlerless_2007,Buck_2008,Antlerless_2008,Buck_2009,Antlerless_2009,Buck_2010,Antlerless_2010,Buck_2011,Antlerless_2011,Buck_2012,Antlerless_2012,Buck_2013,Antlerless_2013,Buck_2014,Antlerless_2014,Buck_2015,Antlerless_2015,Buck_2016,Antlerless_2016,Buck_2017,Antlerless_2017,Buck_2018,Antlerless_2018,Buck_2019,Antlerless_2019,Buck_2020,Antlerless_2020,Buck_2021,Antlerless_2021,Buck_Total,Antlerless_Total,BuckPercentTotal,AntlerlessPercentTotal,Tier
1,4L,Region 4,219,https://www.dec.ny.gov/outdoor/8302.html,566714349.552999973297119,107860.326824999996461,214.000000000000000,92.000000000000000,280.000000000000000,82.000000000000000,310.000000000000000,93.000000000000000,288.000000000000000,99.000000000000000,409.000000000000000,114.000000000000000,400.000000000000000,151.000000000000000,322.000000000000000,113.000000000000000,353.000000000000000,125.000000000000000,429.000000000000000,126.000000000000000,439.000000000000000,104.000000000000000,398.000000000000000,157.000000000000000,479.000000000000000,164.000000000000000,411.000000000000000,129.000000000000000,467.000000000000000,267.000000000000000,523.000000000000000,162.000000000000000,5722.000000000000000,1978.000000000000000,0.148848444544064,0.139895029785618,
2,4U,Region 4,126,https://www.dec.ny.gov/outdoor/8302.html,325444026.500000000000000,76542.928894299999229,259.000000000000000,73.000000000000000,258.000000000000000,135.000000000000000,220.000000000000000,71.000000000000000,250.000000000000000,115.000000000000000,356.000000000000000,88.000000000000000,364.000000000000000,87.000000000000000,326.000000000000000,153.000000000000000,316.000000000000000,109.000000000000000,338.000000000000000,93.000000000000000,384.000000000000000,98.000000000000000,322.000000000000000,134.000000000000000,427.000000000000000,143.000000000000000,313.000000000000000,117.000000000000000,395.000000000000000,224.000000000000000,345.000000000000000,158.000000000000000,4873.000000000000000,1798.000000000000000,0.135303085586566,0.127164440624136,
3,5C,Region 5,1121,https://www.dec.ny.gov/outdoor/8302.html,2903039314.590000152587891,231132.362813999992795,547.000000000000000,131.000000000000000,476.000000000000000,102.000000000000000,424.000000000000000,130.000000000000000,395.000000000000000,115.000000000000000,433.000000000000000,146.000000000000000,486.000000000000000,177.000000000000000,581.000000000000000,160.000000000000000,461.000000000000000,197.000000000000000,488.000000000000000,194.000000000000000,480.000000000000000,103.000000000000000,528.000000000000000,88.000000000000000,691.000000000000000,156.000000000000000,808.000000000000000,195.000000000000000,703.000000000000000,236.000000000000000,794.000000000000000,161.000000000000000,8295.000000000000000,2291.000000000000000,0.172402318731269,0.162032109827528,
4,5F,Region 5,1330,https://www.dec.ny.gov/outdoor/8302.html,3446735850.090000152587891,285683.034703999990597,690.000000000000000,247.000000000000000,803.000000000000000,193.000000000000000,552.000000000000000,193.000000000000000,522.000000000000000,206.000000000000000,602.000000000000000,236.000000000000000,633.000000000000000,234.000000000000000,679.000000000000000,266.000000000000000,546.000000000000000,168.000000000000000,548.000000000000000,268.000000000000000,575.000000000000000,114.000000000000000,600.000000000000000,118.000000000000000,730.000000000000000,160.000000000000000,651.000000000000000,116.000000000000000,607.000000000000000,163.000000000000000,647.000000000000000,110.000000000000000,9385.000000000000000,2792.000000000000000,0.210103567829639,0.197465582993653,
5,5G,Region 5,1242,https://www.dec.ny.gov/outdoor/8302.html,3218209025.559999942779541,375913.939443000010215,1055.000000000000000,539.000000000000000,1115.000000000000000,433.000000000000000,761.000000000000000,396.000000000000000,805.000000000000000,320.000000000000000,840.000000000000000,399.000000000000000,1017.000000000000000,418.000000000000000,1023.000000000000000,460.000000000000000,867.000000000000000,337.000000000000000,983.000000000000000,480.000000000000000,1.024000000000000,421.000000000000000,1.158000000000000,316.000000000000000,1.242000000000000,482.000000000000000,1355.000000000000000,372.000000000000000,1257.000000000000000,510.000000000000000,1149.000000000000000,338.000000000000000,12230.423999999999069,6221.000000000000000,0.468142655969981,0.439983306519884,
6,5R,Region 5,379,https://www.dec.ny.gov/outdoor/8302.html,980590110.891000032424927,158357.801176000008127,581.000000000000000,673.000000000000000,586.000000000000000,785.000000000000000,633.000000000000000,642.000000000000000,600.000000000000000,759.000000000000000,842.000000000000000,918.000000000000000,945.000000000000000,1615.000000000000000,797.000000000000000,968.000000000000000,701.000000000000000,1013.000000000000000,719.000000000000000,912.000000000000000,698.000000000000000,916.000000000000000,686.000000000000000,716.000000000000000,555.000000000000000,806.000000000000000,706.000000000000000,670.000000000000000,813.000000000000000,1040.000000000000000,873.000000000000000,755.000000000000000,10735.000000000000000,13188.000000000000000,0.992423299619371,0.932727832564575,
7,5S,Region 5,426,https://www.dec.ny.gov/outdoor/8302.html,1104015000.160000085830688,173712.244207999989158,,,,,1569.000000000000000,1311.000000000000000,1494.000000000000000,1490.000000000000000,1730.000000000000000,1230.000000000000000,1642.000000000000000,1593.000000000000000,1558.000000000000000,1531.000000000000000,1295.000000000000000,1563.000000000000000,1.199000000000000,1.182000000000000,1.286000000000000,1.202000000000000,1.339000000000000,1.087000000000000,1.254000000000000,1.186000000000000,1113.000000000000000,875.000000000000000,1324.000000000000000,1092.000000000000000,1254.000000000000000,1010.000000000000000,12984.078000000001339,11699.656999999999243,0.880422520803372,0.827464036651423,
8,5T,Region 5,226,https://www.dec.ny.gov/outdoor/8302.html,585771233.044999957084656,178425.512239000003319,,,,,419.000000000000000,273.000000000000000,421.000000000000000,187.000000000000000,498.000000000000000,250.000000000000000,483.000000000000000,282.000000000000000,364.000000000000000,214.000000000000000,317.000000000000000,228.000000000000000,396.000000000000000,131.000000000000000,432.000000000000000,109.000000000000000,406.000000000000000,122.000000000000000,418.000000000000000,157.000000000000000,325.000000000000000,128.000000000000000,418.000000000000000,236.000000000000000,420.000000000000000,172.000000000000000,5317.000000000000000,2489.000000000000000,0.187302213584517,0.176035757905158,
9,6A,Region 6,1516,https://www.dec.ny.gov/outdoor/8302.html,3927975475.230000019073486,398296.457371000025887,2445.000000000000000,2050.000000000000000,2266.000000000000000,1942.000000000000000,2142.000000000000000,1783.000000000000000,2050.000000000000000,1575.000000000000000,1838.000000000000000,1393.000000000000000,2125.000000000000000,907.000000000000000,1921.000000000000000,1032.000000000000000,1910.000000000000000,981.000000000000000,1.699000000000000,494.000000000000000,1.953000000000000,533.000000000000000,2.563000000000000,557.000000000000000,2.417000000000000,626.000000000000000,3261.000000000000000,664.000000000000000,3256.000000000000000,905.000000000000000,3145.000000000000000,1190.000000000000000,26367.632000000001426,16632.000000000000000,1.251591167672838,1.176306438520929,
10,6C,Region 6,967,https://www.dec.ny.gov/outdoor/8302.html,2504215644.030000209808350,462004.470682999992277,1827.000000000000000,1319.000000000000000,1676.000000000000000,1513.000000000000000,1964.000000000000000,1853.000000000000000,1792.000000000000000,1662.000000000000000,1720.000000000000000,1383.000000000000000,1875.000000000000000,1451.000000000000000,1816.000000000000000,1402.000000000000000,1615.000000000000000,1417.000000000000000,1.431000000000000,981.000000000000000,1.605000000000000,883.000000000000000,1.831000000000000,829.000000000000000,1.919000000000000,1.265000000000000,2189.000000000000000,1316.000000000000000,1873.000000000000000,1855.000000000000000,2039.000000000000000,977.000000000000000,20392.786000000000058,18842.264999999999418,1.417918016651698,1.332628525482056,
